patch_id,site,zone,year,state_resp
5,REC_01,Shallow,2024,INCIP
6,REC_07,Shallow,2024,BAR
11,REC_10,Deep,2024,INCIP
12,REC_10,Shallow,2024,INCIP
13,REC_05,Deep,2024,FOR
14,REC_05,Shallow,2024,FOR
16,REC_04,Deep,2024,BAR
16,REC_05,Deep,2024,BAR
17,REC_04,Shallow,2024,BAR
17,REC_05,Shallow,2024,BAR
18,REC_11,Deep,2024,FOR
19,REC_04,Shallow,2024,INCIP
20,REC_04,Deep,2024,FOR
21,REC_11,Shallow,2024,FOR
22,REC_04,Shallow,2024,FOR
23,REC_04,Deep,2024,INCIP
24,REC_03,Deep,2024,INCIP
25,REC_03,Shallow,2024,INCIP
26,REC_03,Deep,2024,FOR
27,REC_03,Deep,2024,BAR
28,REC_12,Deep,2024,BAR
29,REC_03,Shallow,2024,FOR
31,REC_02,Deep,2024,FOR
32,REC_03,Shallow,2024,BAR
33,REC_02,Shallow,2024,FOR
34,REC_02,Deep,2024,INCIP
35,REC_01,Shallow,2024,BAR
36,REC_02,Deep,2024,BAR
37,REC_02,Shallow,2024,BAR
38,REC_02,Shallow,2024,INCIP
39,REC_01,Deep,2024,BAR
40,REC_01,Deep,2024,INCIP
41,REC_12,Shallow,2024,BAR
43,REC_01,Deep,2024,FOR
44,REC_01,Shallow,2024,FOR
45,REC_06,Deep,2024,INCIP
46,REC_06,Shallow,2024,BAR
47,REC_06,Shallow,2024,INCIP
48,REC_06,Deep,2024,BAR
49,REC_06,Deep,2024,FOR
50,REC_06,Shallow,2024,FOR
51,REC_07,Shallow,2024,INCIP
57,REC_07,Deep,2024,BAR
58,REC_07,Deep,2024,INCIP
59,REC_07,Deep,2024,FOR
61,REC_07,Shallow,2024,FOR
5,REC_01,Shallow,2025,FOR
6,REC_07,Shallow,2025,BAR
11,REC_10,Deep,2025,FOR
12,REC_10,Shallow,2025,INCIP
13,REC_05,Deep,2025,FOR
14,REC_05,Shallow,2025,FOR
16,REC_04,Deep,2025,BAR
16,REC_05,Deep,2025,BAR
17,REC_04,Shallow,2025,BAR
17,REC_05,Shallow,2025,INCIP
18,REC_11,Deep,2025,FOR
19,REC_04,Shallow,2025,INCIP
20,REC_04,Deep,2025,INCIP
21,REC_11,Shallow,2025,FOR
22,REC_04,Shallow,2025,INCIP
23,REC_04,Deep,2025,INCIP
24,REC_03,Deep,2025,INCIP
25,REC_03,Shallow,2025,FOR
26,REC_03,Deep,2025,FOR
27,REC_03,Deep,2025,INCIP
28,REC_12,Deep,2025,FOR
29,REC_03,Shallow,2025,FOR
30,REC_14,Shallow,2025,FOR
31,REC_02,Deep,2025,FOR
32,REC_03,Shallow,2025,FOR
33,REC_02,Shallow,2025,FOR
34,REC_02,Deep,2025,BAR
35,REC_01,Shallow,2025,BAR
36,REC_02,Deep,2025,BAR
37,REC_02,Shallow,2025,INCIP
38,REC_02,Shallow,2025,INCIP
39,REC_01,Deep,2025,BAR
40,REC_01,Deep,2025,BAR
41,REC_12,Shallow,2025,FOR
42,REC_13,Deep,2025,BAR
43,REC_01,Deep,2025,FOR
44,REC_01,Shallow,2025,FOR
45,REC_06,Deep,2025,INCIP
46,REC_06,Shallow,2025,INCIP
47,REC_06,Shallow,2025,BAR
48,REC_06,Deep,2025,BAR
49,REC_06,Deep,2025,FOR
50,REC_06,Shallow,2025,FOR
51,REC_07,Shallow,2025,INCIP
57,REC_07,Deep,2025,BAR
58,REC_07,Deep,2025,INCIP
59,REC_07,Deep,2025,FOR
61,REC_07,Shallow,2025,FOR
